type,rollup,search_terms,effective_range,review,segment,param_keys,id,updatedOn,param_values,priority,name,redirect_url,filters_normalized,deployed,description,doc_type,attr_external_version_s_,createdOn,external_version_s,enabled,matching,display_type,banner_url,new_id,groups,filters,param_policies
banner,Banner,"set up parental pin,sleep timer,welcome screen",,approved,Residential,,bb46e13d-4930-4abe-83d8-9e5c0d8ab9d8,2018-04-19T19:30:56.710Z,,1,Residential Support Fix TV Guide Issues,,,FALSE,Residential Support Fix TV Guide Issues,rule,"15\,982\,041\,579\,105\,800\,000\,000\,000\,000\,000\,000\,000",2018-04-19T19:30:56.710Z,1.60E+18,TRUE,keywords,Banner,"<div class=""padding-top-small""> <div class=""bold"">BEST MATCH</div> <a class=""text-large text-hyperlink bold"" href=""https://www.verizon.com/ForYourHome/VZRepair/vziha/Servicecad.aspx?ihaweb=FIX_IMG&amp;incid=srch_res_support_fix_tv_guide&amp;RichTextMedia=yes"" tabindex=""0"">Fix TV Guide Problems - Fios TV Customer Service</a>  <div>Fix TV Guide problems and update settings with the Verizon Troubleshooter.</div> </div>",bb46e13d-4930-4abe-83d8-9e5c0d8ab9d8,rules-global,,
banner,Banner,"view my bill,view bill",,approved,Residential,,03c87862-daba-4d25-9364-f2bc9fa2aa95,2018-04-19T20:08:20.670Z,,1,Residential View Bill,,,FALSE,Residential View Bill,rule,"15\,982\,065\,116\,533\,200\,000\,000\,000\,000\,000\,000\,000",2018-04-19T20:08:20.670Z,1.60E+18,TRUE,keywords,Banner,"<div class=""padding-top-small""> <div class=""bold"">BEST MATCH</div> <a class=""text-large text-hyperlink bold"" href=""https://www.verizon.com/home/myverizon/?session=n&amp;goto=https://www.verizon.com:443/ForYourHome/BillView/MyBill.aspx%3Fincid%3Dsrch_viewbill%26RichTextMedia%3Dyes"" tabindex=""0"">View Online Bill Now</a>  <div>Log in to View your bill</div> </div>",03c87862-daba-4d25-9364-f2bc9fa2aa95,rules-global,,
banner,Banner,outage,,approved,,,5d2b6eb8-5b13-4190-8a18-cd5e957773c5,2018-05-07T17:51:21.790Z,,1,personalization-ann-outage,,,FALSE,personalization-ann-outage,rule,"15\,998\,286\,375\,545\,700\,000\,000\,000\,000\,000\,000\,000",2018-05-03T15:59:37.830Z,1.60E+18,TRUE,text,Banner,personalization-ann-outage,5d2b6eb8-5b13-4190-8a18-cd5e957773c5,rules-global,,
banner,Banner,"move,moving,relocate,transfer",,approved,,,2846c72c-73e0-4458-9fe6-a14bc8619b0d,2018-05-08T16:21:52.390Z,,1,personalization-ann-moving,,,FALSE,personalization-ann-moving,rule,"15\,999\,136\,039\,761\,300\,000\,000\,000\,000\,000\,000\,000",2018-05-07T15:32:05.820Z,1.60E+18,TRUE,text,Banner,personalization-ann-moving,2846c72c-73e0-4458-9fe6-a14bc8619b0d,rules-global,,
banner,Banner,"channel lineup,line-up,tv guide,lineup",,approved,Residential,,ae043abd-0fbe-41b1-bcbc-cf8d387f1590,2018-04-18T22:19:40.650Z,,1,Residential Fios TV Channel Lineup - Shop,,,FALSE,Residential Fios TV Channel Lineup - Shop,rule,"15\,981\,241\,772\,802\,000\,000\,000\,000\,000\,000\,000\,000",2018-04-18T22:18:33.080Z,1.60E+18,TRUE,keywords,Banner,"<div class=""padding-top-small""> <div class=""bold"">BEST MATCH</div> <a class=""text-large text-hyperlink bold"" href=""https://www.verizon.com/info/channel-lineup/?incid=srch_res_fiostv_channellineup&amp;RichTextMedia=yes"" name=""&amp;lid=res_fiostv_channellineup&amp;lpos=promo"" tabindex=""0"">Verizon Fios TV Channel Guide</a>  <div>Looking for your local channels? Use the Fios channel lineup tool.</div> </div>",ae043abd-0fbe-41b1-bcbc-cf8d387f1590,rules-global,,
set_params,Set Params,"quarterly,q1,q2,q3,q4,Q1,Q2,Q3,Q4",,approved,,"bq,sort",9c455594-08d8-4d57-9adb-8a3c1388e042,2019-05-20T22:19:57.520Z,"category_s:Corporate,date_dt desc",1,Corporate - Keywords,,,FALSE,,rule,,2018-06-06T02:49:17.380Z,,TRUE,text,Set Params,,,rules-global,,"replace,replace"
banner,Banner,"calling card,international call,wallet guide,calling card,country code,international dialing,international calling,international calling codes",,approved,Residential,,f109d7bb-977b-49d5-8f9e-05837e2f9292,2018-04-18T22:28:34.590Z,,1,Residential International Calling,,,FALSE,Residential International Calling,rule,"15\,981\,247\,362\,194\,400\,000\,000\,000\,000\,000\,000\,000",2018-04-18T22:26:39.010Z,1.60E+18,TRUE,keywords,Banner,"<div class=""padding-top-small""><div class=""bold"">BEST MATCH</div><a class=""text-large text-hyperlink bold"" href=""https://www.verizon.com/support/residential/homephone/getting-started/local-international-calling?incid=srch_esp_intl_cds_strt&amp;RichTextMedia=yes"" name=""&amp;lid=esp_intl_cds_strt&amp;lpos=promo"" tabindex=""0"">Local and International Calling</a><div>Calling across the Globe starts with the right country code. Find it here! Get Started.</div></div>",f109d7bb-977b-49d5-8f9e-05837e2f9292,rules-global,,
banner,Banner,"bill,billing,autopay,billpay,paybill",,approved,,,bf19352d-18a5-45c1-86c3-90a4cc593456,2018-11-20T07:26:28.880Z,,1,personalization-billing-paybill,,,FALSE,personalization-billing-paybill,rule,,2018-05-03T15:57:39.680Z,,TRUE,text,Banner,personalization-billing-paybill,,rules-global,,
banner,Banner,"deals,discount,discounts,black friday,flash sale,cyber monday,holiday offer",,approved,,,8177eafa-4160-43dd-ab55-8942e7737ad0,2018-11-27T03:24:50.380Z,,1,personalization-ann-flashsales,,,FALSE,personalization-ann-flashsales,rule,,2018-09-10T15:32:05.820Z,,FALSE,keywords,Banner,personalization-ann-flashsales,,rules-global,,
banner,Banner,"annoying,block,nomorobo,robo",,approved,,,1a8dd769-653b-499a-a697-a01c32d9f7c9,2019-03-14T03:29:12.170Z,,1,personalization-ann-callblock,,,FALSE,personalization-ann-callblock,rule,,2018-08-20T15:32:05.820Z,,TRUE,text,Banner,personalization-ann-callblock,,rules-global,,
banner,Banner,"anti virus,internet parental control,privacy protection,firewall,anti-spyware,VISS< antivirus,verizon internet security,virus protection,pop-up blocker,security,ad block,security suite",,approved,Residential,,7a069f10-e43f-45a8-8004-23f5757485db,2018-04-19T18:39:09.870Z,,1,Residential Internet Essentials,,,FALSE,Residential Internet Essentials,rule,"15\,982\,009\,112\,015\,600\,000\,000\,000\,000\,000\,000\,000",2018-04-19T18:39:09.870Z,1.60E+18,TRUE,keywords,Banner,"<div class=""padding-top-small""> <div class=""bold"">BEST MATCH</div> <a class=""text-large text-hyperlink bold"" href=""http://www.verizon.com/home/utilities/security/?incid=srch_res_intrnt_ess_lrn&amp;RichTextMedia=yes"" name=""&amp;lid=res_intrnt_ess_lrn&amp;lpos=promo"" tabindex=""0"">Internet Security\, Protection and Support Plans</a>  <div>Check out Verizon&#39;s comprehensive Internet Essentials plans for trusted and reliable internet security\, device protection and premium technical support today!</div> </div>",7a069f10-e43f-45a8-8004-23f5757485db,rules-global,,
banner,Banner,"box,stb,settop,settopbox",,approved,,,c5da591c-cb9d-43b3-9ee7-c3cde3e93980,2019-03-14T03:38:37.100Z,,1,personalization-ann-stb,,,FALSE,personalization-ann-stb,rule,,2018-09-10T15:32:05.820Z,,TRUE,text,Banner,personalization-ann-stb,,rules-global,,
banner,Banner,"viss,verizon internet security suite",,approved,,,dc399fcc-7561-4196-8804-b1e7e1e29ce2,2019-03-14T03:40:23.820Z,,1,personalization-ann-viss,,,FALSE,personalization-ann-viss,rule,,2018-08-20T15:32:05.820Z,,TRUE,keywords,Banner,personalization-ann-viss,,rules-global,,
banner,Banner,"moving,move,relocation,close my account,relocate,transfer,close account",,approved,Residential,,81e62602-d3dc-47d6-ae43-607567fd2eb9,2018-04-19T18:40:19.520Z,,1,Residential Moving,,,FALSE,,rule,"15\,982\,009\,727\,089\,300\,000\,000\,000\,000\,000\,000\,000",2018-04-19T18:40:19.520Z,1.60E+18,TRUE,keywords,Banner,"<div class=""padding-top-small""> <div class=""bold"">BEST MATCH</div> <a class=""text-large text-hyperlink bold"" href=""http://www.verizon.com/home/shop/moving.htm?incid=srch_res_move_cnnct_lrn&amp;RichTextMedia=yes"" name=""&amp;lid=res_move_cnnct&amp;lpos=promo"" tabindex=""0"">Moving? Let us do the heavy lifting</a>  <div>We&#39;ll connect you before you unpack. Phone + Internet + TV.</div> </div>",81e62602-d3dc-47d6-ae43-607567fd2eb9,rules-global,,
banner,Banner,"account,registration",,approved,,,7d7f5a86-6524-491b-81f9-42a68a12396d,2018-12-05T06:04:14.310Z,,1,personalization-ann-acctnumber,,,FALSE,personalization-ann-acctnumber,rule,,2018-09-10T15:32:05.820Z,,FALSE,text,Banner,personalization-ann-acctnumber,,rules-global,,
banner,Banner,"dial tone,dial-tone,dialtone",,approved,Residential,,fcc58031-932b-4191-80f7-0e73b160d763,2018-04-19T18:47:51.430Z,,1,Residential No Dial Tone,,,FALSE,Residential No Dial Tone,rule,"15\,982\,014\,476\,530\,400\,000\,000\,000\,000\,000\,000\,000",2018-04-19T18:47:51.430Z,1.60E+18,TRUE,keywords,Banner,"<div class=""padding-top-small""> <div class=""bold"">BEST MATCH</div> <a class=""text-large text-hyperlink bold"" href=""https://www.verizon.com/ForYourHome/VZRepair/vziha/Servicecad.aspx?ihaweb=FIX_NDT&amp;incid=srch_res_nodialtone&amp;RichTextMedia=yes"" tabindex=""0"">Need help with dial tone issues?</a>  <div>Use the Verizon troubleshooter to guide you through the steps to resolve the dial tone issues.</div> </div>",fcc58031-932b-4191-80f7-0e73b160d763,rules-global,,
banner,Banner,"ccon,cant connect to internet,cannot connect to internet,can't ,connect to internet,internet not working,internet issues,internet problems,internet connection issue,no internet,internet down,internet issue,connection issue",,approved,Residential,,13c16117-f034-4e22-b874-586e8670b9a2,2018-05-22T22:47:28.050Z,,1,Residential No Internet,,,FALSE,Residential No Internet,rule,"16\,012\,062\,213\,464\,300\,000\,000\,000\,000\,000\,000\,000",2018-04-19T18:49:27.510Z,1.60E+18,TRUE,keywords,Banner,"<div class=""padding-top-small""> <div class=""bold"">BEST MATCH</div> <a class=""text-large text-hyperlink bold"" href=""https://www.verizon.com/ForYourHome/VZRepair/vziha/Servicecad.aspx?ihaweb=FIX_CCON&amp;incid=srch_res_nointernet&amp;RichTextMedia=yes"" tabindex=""0"">Having trouble with your Fios Internet connection?</a>  <div>Use the Verizon troubleshooter to guide you through the steps to resolve the Fios internet issues.</div> </div>",13c16117-f034-4e22-b874-586e8670b9a2,rules-global,,
banner,Banner,"wrestlemania,wwe,wrestling",,approved,,,be2100f7-d83f-47f6-ac66-d0f746daba38,2019-04-04T03:42:31.570Z,,1,personalization-ann-wwe,,,FALSE,personalization-ann-wwe,rule,,2019-04-04T03:42:31.570Z,,TRUE,text,Banner,personalization-ann-wwe,,rules-global,,
banner,Banner,"ticket,pending,status,reschedule,installation,track,appointment,install,repair,order",,approved,,,cb0435a6-05a5-41e7-9b41-697d23c822ae,2019-03-14T03:33:44.510Z,,1,personalization-ann-orderstatus,,,FALSE,personalization-ann-orderstatus,rule,,2018-12-19T14:25:16.490Z,,TRUE,text,Banner,personalization-ann-orderstatus,,rules-global,,
banner,Banner,"ppv,ufc,per,perview,per-view",,approved,,,7c042050-43d5-4ec6-9c56-0127672ceecd,2019-03-14T03:34:57.780Z,,1,personalization-ann-ppv,,,FALSE,personalization-ann-ppv,rule,,2018-09-10T15:32:05.820Z,,TRUE,text,Banner,personalization-ann-ppv,,rules-global,,
banner,Banner,"welterweight,wbo,Khan,Crawford,boxing",,approved,,,3110b501-d1a8-40ac-a148-a1dcdd63352a,2019-04-04T03:43:12.810Z,,1,personalization-ann-wbo,,,FALSE,personalization-ann-wbo,rule,,2019-04-04T03:43:12.810Z,,TRUE,text,Banner,personalization-ann-wbo,,rules-global,,
banner,Banner,"nba,basketball",,approved,,,ec2ff869-e860-43ee-80fb-271cd0bc7458,2019-03-14T03:31:02.960Z,,1,personalization-ann-nba,,,FALSE,personalization-ann-nba,rule,,2019-03-08T05:15:18.680Z,,TRUE,text,Banner,personalization-ann-nba,,rules-global,,
banner,Banner,"watch,iwatch",,approved,,,2f9148e8-7311-4b4f-801d-9b921b68ccae,2019-09-19T09:18:57.550Z,,1,Wireless - Apple Watch,,,FALSE,,rule,,2019-09-11T17:23:16.810Z,,FALSE,text,Banner,"<div class=""padding-top-small""> <div class=""bold"">BEST MATCH</div> <a class=""text-large text-hyperlink bold"" href=""https://vzwonesearch-pr-east-yz.vpc.verizon.com/onesearch/search?q=apple+watch"" name=""&amp;lid=res_iphone&amp;lpos=promo"" tabindex=""0"" target=""_blank"">New Apple Watch Series 5</a> <div> Preorder the New Apple Watch Series 5</div> </div>",,rules-global,,
banner,Banner,"ipad,tablet",,approved,,,4cc08a2c-9af4-47e3-a0a7-d6a33e013968,2019-09-19T09:19:02.670Z,,1,Wireless - iPad,,,FALSE,,rule,,2019-09-11T17:24:23.600Z,,FALSE,text,Banner,"<div class=""padding-top-small""> <div class=""bold"">BEST MATCH</div> <a class=""text-large text-hyperlink bold"" href=""https://vzwonesearch-pr-east-yz.vpc.verizon.com/onesearch/search?q=apple+watch"" name=""&amp;lid=res_iphone&amp;lpos=promo"" tabindex=""0"" target=""_blank"">New iPad 10.2</a> <div>Preorder the New iPad 10.2</div> </div>",,rules-global,,
banner,Banner,"HBO,hbo go,cancel hbo,hbogo,remove hbo,how do I remove hbo from my account?,add hbo",,approved,,,6fdebb96-1236-48e7-b220-9ce363610483,2018-12-31T16:41:02.840Z,,1,personalization-ann-hboholiday,,,FALSE,personalization-ann-hboholiday,rule,,2018-12-05T06:03:02.790Z,,FALSE,keywords,Banner,personalization-ann-hboholiday,,rules-global,,
banner,Banner,"cbs,bowl,superbowl,patriots,england ,rams,angeles",[2019-01-31T00:00:00Z TO 2019-02-08T00:00:00Z],approved,,,9f177580-1001-42f2-bc94-ef0e577c50d2,2019-02-04T20:36:01.910Z,,1,personalization-ann-superbowl,,,FALSE,personalization-ann-superbowl,rule,,2019-01-31T16:18:41.730Z,,FALSE,text,Banner,personalization-ann-superbowl,,rules-global,,
banner,Banner,netflix,,approved,,,09888ab8-48fe-4765-8992-cb3f9be25fcb,2019-03-14T03:31:27.050Z,,1,personalization-ann-netflix,,,FALSE,personalization-ann-netflix,rule,,2019-03-08T05:16:01.870Z,,TRUE,text,Banner,personalization-ann-netflix,,rules-global,,
banner,Banner,"rewards,points,reward",,approved,,,f37da271-8ace-4cea-92ca-1a42a7825d53,2019-05-02T17:59:45.830Z,,1,personalization-ann-rewardsplus,,,FALSE,personalization-ann-rewardsplus,rule,,2019-05-02T17:59:45.830Z,,TRUE,text,Banner,personalization-ann-rewardsplus,,rules-global,,
